Date,Open,High,Low,Close,Adj Close,Volume,Sma_30,Sma_10,MAC_10_30,MovStd_10,Zscore,Bollinger Entry,Bollinger ExitLong,Bollinger ExitShort,Bollinger_10_1_.05
2020-02-14,183.25,185.410004,182.649994,185.350006,183.407059,23149500,,,,,,,,,
2020-02-18,185.610001,187.699997,185.5,187.229996,185.267365,27792200,,,,,,,,,
2020-02-19,188.059998,188.179993,186.470001,187.279999,185.822998,29997500,,,,,,,,,
2020-02-20,186.949997,187.25,181.100006,184.419998,182.985229,36862400,,,,,,,,,
2020-02-21,183.169998,183.5,177.25,178.589996,177.200607,48572600,,,,,,,,,
2020-02-24,167.770004,174.550003,163.229996,170.889999,169.560516,68311100,,,,,,,,,
2020-02-25,174.199997,174.839996,167.649994,168.070007,166.762451,68073300,,,,,,,,,
2020-02-26,169.710007,173.259995,168.210007,170.169998,168.8461,56206100,,,,,,,,,
2020-02-27,163.320007,167.029999,157.979996,158.179993,156.949387,93174900,,,,,,,,,
2020-02-28,152.410004,163.710007,152,162.009995,160.74,97073600,,173.7541712,,10.5977371,-1.228014158,1,1,0,1
2020-03-02,165.309998,172.919998,162.309998,172.789993,171.445724,71030800,,172.5580377,,10.04794958,-0.110700565,0,1,0,1
2020-03-03,173.800003,175,162.259995,164.509995,163.230148,71677000,,170.354316,,9.34267538,-0.762540462,0,1,0,1
2020-03-04,168.490005,170.699997,165.619995,170.550003,169.223145,49814400,,168.6943307,,7.60127301,0.069569176,0,0,-1,0
2020-03-05,166.050003,170.869995,165.690002,166.270004,164.97644,47817300,,166.8934518,,5.746259182,-0.333610396,0,1,0,0
2020-03-06,162.610001,163.110001,156,161.570007,160.313034,72821100,,165.2046945,,4.780991172,-1.023147779,1,1,0,1
2020-03-09,151,157.75,150,150.619995,149.448196,70419300,,163.1934625,,6.62121516,-2.075943187,1,1,0,1
2020-03-10,158.160004,161.029999,152.580002,160.919998,159.668076,65354400,,162.484025,,6.576237248,-0.42820064,0,1,0,1
2020-03-11,157.130005,157.699997,151.149994,153.630005,152.434784,56371600,,160.8428934,,6.85403518,-1.226738582,1,1,0,1
2020-03-12,145.300003,153.470001,138.580002,139.059998,137.978134,93226400,,158.9457681,,9.969103217,-2.103261812,1,1,0,1
2020-03-13,147.5,161.910004,140.729996,158.830002,157.594345,92727400,,158.6312026,,9.955817575,-0.104145902,0,1,0,1
2020-03-16,140,149.350006,135,135.419998,134.36647,87905900,,154.9232772,,11.44621681,-1.795947739,1,1,0,1
2020-03-17,140,147.5,135,146.570007,145.429733,81059800,,153.1432357,,11.39483663,-0.676929644,0,1,0,1
