Date,Open,High,Low,Close,Volume,Adj Close
11/30/2007,78.35,78.6,76.98,77.32,9509100,77.32
11/29/2007,79.28,79.33,78.28,78.28,9306700,78.28
11/28/2007,79.42,79.87,78.76,79.57,9706700,79.57
11/27/2007,80.7,80.89,79.81,80.1,7229900,80.1
11/26/2007,82.25,82.25,81.13,81.3,7440200,81.3
11/23/2007,80.04,81.61,80.02,81.25,5259700,81.25
11/21/2007,79.3,79.55,78.56,79.36,7264100,79.36
11/20/2007,78.03,80.04,77.3,79.47,12081600,79.47
11/19/2007,77.84,78,76.11,77.24,6088600,77.24
11/16/2007,78.34,78.85,77.17,77.75,8078000,77.75
11/15/2007,79.18,79.5,77.3,77.95,10908200,77.95
11/14/2007,80.21,80.68,79.91,80.28,5703700,80.28
11/13/2007,79.4,79.93,77.86,79.12,11438200,79.12
11/12/2007,80.41,80.44,78.25,78.3,17297000,78.3
11/9/2007,81.79,82.63,81.22,82.18,6947800,82.18
11/8/2007,82.43,83.63,81.73,82.23,17356200,82.23
11/7/2007,83.21,83.24,81.33,82.24,16512900,82.24
11/6/2007,81.03,81.52,80.7,81.43,7692500,81.43
11/5/2007,79.68,80.24,79.11,79.75,5025300,79.75
11/2/2007,78.55,79.9,77.48,79.83,9911400,79.83
11/1/2007,78.4,78.9,77.5,77.93,7545500,77.93
10/31/2007,77.78,78.95,76.89,78.62,8872900,78.62
10/30/2007,77.66,77.66,77.01,77.35,5608600,77.35
10/29/2007,78.27,78.32,77.65,78.12,6881000,78.12
10/26/2007,76.87,77.74,76.67,77.69,8544200,77.69
10/25/2007,75.94,76.17,75.66,76.03,6487800,76.03
10/24/2007,74.84,75.59,74.79,75.52,5660600,75.52
10/23/2007,75.11,75.26,74.63,75.23,3096400,75.23
10/22/2007,74.09,74.77,73.84,74.6,8636500,74.6
10/19/2007,76.09,76.29,74.54,75.7,9507800,75.7
10/18/2007,75.38,76,75.33,76,5646900,76
10/17/2007,75.31,75.66,74.31,74.5,9355300,74.5
10/16/2007,74.87,75.45,73.78,75.12,6622900,75.12
10/15/2007,74.99,75.2,74.49,75.14,6705300,75.14
10/12/2007,73.93,74.59,73.75,74.59,3604200,74.59
10/11/2007,73.98,74.59,73.28,73.91,10291400,73.91
10/10/2007,73.6,73.82,72.63,73.36,4615000,73.36
10/9/2007,72.29,73.3,72.1,73.09,7416100,73.09
10/8/2007,72.66,72.89,72.28,72.53,3447600,72.53
10/5/2007,72.8,73.64,71.88,73.4,10597200,73.4
10/4/2007,71.8,73.06,71.24,72.87,9178500,72.87
10/3/2007,72.25,72.65,71.35,71.9,8186000,71.9
10/2/2007,72.45,72.68,71.63,72.35,10720000,72.35
10/1/2007,73.49,73.98,73.29,73.9,4823700,73.9
