Date,Open,High,Low,Close,Volume,Adj Close
11/26/2001,115.75,116.34,115.07,115.93,13726000,105.52
11/27/2001,115.62,116.9,114.09,115.43,19261400,105.06
11/28/2001,114.74,115.17,113.25,113.34,20195500,103.16
11/29/2001,113.66,114.92,113,114.87,16354700,104.55
11/30/2001,114.4,114.91,114.02,114.05,13680300,103.81
12/3/2001,113.65,114.08,113.01,113.37,15220400,103.19
12/4/2001,113.92,115.3,113.35,115.29,17239900,104.93
12/5/2001,115.61,118,115.56,117.4,25204000,106.85
12/6/2001,117.34,117.94,116.93,117.34,17972900,106.8
12/7/2001,116.9,117.09,115.7,116.56,18857800,106.09
12/10/2001,115.85,116.39,114.35,114.38,13862700,104.11
12/11/2001,114.9,115.72,113.9,114.15,20833300,103.9
12/12/2001,114.55,114.78,113.11,114.28,16171500,104.02
12/13/2001,113.45,113.7,112.04,112.06,19026700,101.99
12/14/2001,112.33,113.49,112,113.13,16721900,102.97
12/17/2001,112.99,114.36,112.9,114.3,13925900,104.03
12/18/2001,114.63,115.15,114.34,114.98,13663700,104.65
12/19/2001,114.09,115.92,114,115.79,20143400,105.39
12/20/2001,115.5,115.8,114.55,114.65,14867900,104.35
12/21/2001,115.03,115.07,114.2,114.95,14037700,104.62
12/24/2001,114.83,115.04,114.61,114.73,5728800,104.42
12/26/2001,114.65,116.21,114.65,115.36,10304800,105
12/27/2001,115.3,116.08,115.25,116.06,9407300,105.64
12/28/2001,116.29,116.75,115.92,116,10593800,105.58
12/31/2001,116.15,116.39,114.23,114.3,14619500,104.03
1/2/2002,115.11,115.75,113.81,115.53,18651900,105.15
1/3/2002,115.65,116.95,115.54,116.84,15743000,106.35
1/4/2002,117.17,117.98,116.55,117.62,20140700,107.06
1/7/2002,117.7,117.99,116.56,116.79,13106500,106.3
1/8/2002,116.79,117.06,115.97,116.52,12683700,106.05
1/9/2002,116.68,117.78,115.34,115.57,16610300,105.19
1/10/2002,115.69,116.35,115.3,116.08,12823400,105.65
1/11/2002,116.21,116.28,114.7,114.94,13708400,104.62
1/14/2002,114.65,114.84,113.96,114.22,12301100,103.96
1/15/2002,114.55,115.39,113.9,115.15,20219900,104.81
1/16/2002,114.3,114.4,112.69,112.82,17067000,102.69
1/17/2002,113.76,114.24,113.4,113.67,17283400,103.46
1/18/2002,113,113.85,112.67,113.15,17028000,102.99
1/22/2002,113.75,113.93,112.02,112.37,11689300,102.28
1/23/2002,112.63,113.55,112.02,113.23,12438900,103.06
1/24/2002,113.64,114.25,113.32,113.58,12142800,103.38
1/25/2002,113.12,114.18,113.04,113.55,12810700,103.35
1/28/2002,113.9,114.19,112.92,113.86,10589200,103.63
1/29/2002,113.85,114.13,110.05,110.28,27720800,100.37
1/30/2002,110.39,113.39,108.4,111.87,34711800,101.82
1/31/2002,112.15,113.3,111.62,113.18,19909200,103.01
2/1/2002,113.09,113.3,112.17,112.65,15838500,102.53
2/4/2002,112.23,112.23,109.44,109.85,24243400,99.98
2/5/2002,109.4,110.49,108.53,109.17,33614000,99.36
2/6/2002,109.65,109.74,108.06,108.7,29486000,98.94
2/7/2002,108.72,109.86,108,108.02,23445400,98.32
2/8/2002,108.63,110.75,108.3,110.09,19277800,100.2
2/11/2002,110.05,111.64,109.82,111.44,18792400,101.43
2/12/2002,110.96,111.71,110.03,111.09,13942500,101.11
2/13/2002,111.48,112.54,111.35,112.27,16781100,102.19
2/14/2002,112.51,112.97,111.59,112.06,20453800,101.99
2/15/2002,112.15,112.24,110.71,110.89,18366800,100.93
2/19/2002,110.15,110.29,108.61,108.76,15988100,98.99
2/20/2002,109.05,110.59,107.82,110.59,29242800,100.66
2/21/2002,109.93,110.63,108.26,108.3,26288600,98.57
2/22/2002,108.35,109.94,107.87,109.64,26572900,99.79
2/25/2002,109.74,111.81,109.7,111.45,17458700,101.44
2/26/2002,111.6,112.04,110.57,111.22,22346500,101.23
2/27/2002,111.96,112.86,110.65,111.65,28597900,101.62
2/28/2002,111.83,112.75,111.03,111.15,23755400,101.17
3/1/2002,111.72,113.85,111.51,113.74,26273600,103.52
3/4/2002,113.9,115.99,113.65,115.75,27184600,105.35
3/5/2002,115.33,116.4,114.97,115.38,22718900,105.02
3/6/2002,115.1,117.15,115.07,116.75,20143200,106.26
3/7/2002,117.36,117.5,115.57,116.5,19330800,106.04
3/8/2002,117.38,117.9,116.48,116.99,19930100,106.48
